schemaname,tablename,indexname,indexdef
public,jalapeno_instagram_posts,jalapeno_instagram_posts_run_id_key,CREATE UNIQUE INDEX jalapeno_instagram_posts_run_id_key ON public.jalapeno_instagram_posts USING btree (run_id)
public,jalapeno_performance_summaries,idx_jalapeno_performance_summaries_type_period,"CREATE INDEX idx_jalapeno_performance_summaries_type_period ON public.jalapeno_performance_summaries USING btree (summary_type, period_start DESC)"
public,jalapeno_performance_summaries,jalapeno_performance_summaries_pkey,CREATE UNIQUE INDEX jalapeno_performance_summaries_pkey ON public.jalapeno_performance_summaries USING btree (id)
public,jalapeno_post_candidates,idx_jalapeno_post_candidates_run_id,CREATE INDEX idx_jalapeno_post_candidates_run_id ON public.jalapeno_post_candidates USING btree (run_id)
public,jalapeno_post_candidates,idx_jalapeno_post_candidates_selected,CREATE INDEX idx_jalapeno_post_candidates_selected ON public.jalapeno_post_candidates USING btree (selected)
public,jalapeno_post_candidates,jalapeno_post_candidates_pkey,CREATE UNIQUE INDEX jalapeno_post_candidates_pkey ON public.jalapeno_post_candidates USING btree (id)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_caption_type,CREATE INDEX idx_jalapeno_post_metrics_caption_type ON public.jalapeno_post_metrics USING btree (caption_type)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_captured_at_desc,CREATE INDEX idx_jalapeno_post_metrics_captured_at_desc ON public.jalapeno_post_metrics USING btree (captured_at DESC)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_category,CREATE INDEX idx_jalapeno_post_metrics_category ON public.jalapeno_post_metrics USING btree (category)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_collected_at_desc,CREATE INDEX idx_jalapeno_post_metrics_collected_at_desc ON public.jalapeno_post_metrics USING btree (collected_at DESC)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_cta_type,CREATE INDEX idx_jalapeno_post_metrics_cta_type ON public.jalapeno_post_metrics USING btree (cta_type)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_image_style,CREATE INDEX idx_jalapeno_post_metrics_image_style ON public.jalapeno_post_metrics USING btree (image_style)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_instagram_media_id,CREATE INDEX idx_jalapeno_post_metrics_instagram_media_id ON public.jalapeno_post_metrics USING btree (instagram_media_id)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_post_id,CREATE INDEX idx_jalapeno_post_metrics_post_id ON public.jalapeno_post_metrics USING btree (post_id)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_published_at_desc,CREATE INDEX idx_jalapeno_post_metrics_published_at_desc ON public.jalapeno_post_metrics USING btree (published_at DESC)
public,jalapeno_post_metrics,idx_jalapeno_post_metrics_video_asset_id,CREATE INDEX idx_jalapeno_post_metrics_video_asset_id ON public.jalapeno_post_metrics USING btree (video_asset_id)
public,jalapeno_post_metrics,jalapeno_post_metrics_pkey,CREATE UNIQUE INDEX jalapeno_post_metrics_pkey ON public.jalapeno_post_metrics USING btree (id)
public,jalapeno_post_patterns,idx_jalapeno_post_patterns_content_type,CREATE INDEX idx_jalapeno_post_patterns_content_type ON public.jalapeno_post_patterns USING btree (content_type)
public,jalapeno_post_patterns,idx_jalapeno_post_patterns_creative_style,CREATE INDEX idx_jalapeno_post_patterns_creative_style ON public.jalapeno_post_patterns USING btree (creative_style)
public,jalapeno_post_patterns,idx_jalapeno_post_patterns_published_time_desc,CREATE INDEX idx_jalapeno_post_patterns_published_time_desc ON public.jalapeno_post_patterns USING btree (published_time DESC)
public,jalapeno_post_patterns,jalapeno_post_patterns_pkey,CREATE UNIQUE INDEX jalapeno_post_patterns_pkey ON public.jalapeno_post_patterns USING btree (id)
public,jalapeno_post_patterns,jalapeno_post_patterns_post_id_key,CREATE UNIQUE INDEX jalapeno_post_patterns_post_id_key ON public.jalapeno_post_patterns USING btree (post_id)
public,jalapeno_post_scores,idx_jalapeno_post_scores_score_desc,CREATE INDEX idx_jalapeno_post_scores_score_desc ON public.jalapeno_post_scores USING btree (score DESC)
public,jalapeno_post_scores,jalapeno_post_scores_pkey,CREATE UNIQUE INDEX jalapeno_post_scores_pkey ON public.jalapeno_post_scores USING btree (id)
public,jalapeno_post_scores,jalapeno_post_scores_post_id_key,CREATE UNIQUE INDEX jalapeno_post_scores_post_id_key ON public.jalapeno_post_scores USING btree (post_id)
public,jalapeno_posts,idx_jalapeno_posts_candidate_id,CREATE INDEX idx_jalapeno_posts_candidate_id ON public.jalapeno_posts USING btree (candidate_id)
public,jalapeno_posts,idx_jalapeno_posts_instagram_media_id,CREATE INDEX idx_jalapeno_posts_instagram_media_id ON public.jalapeno_posts USING btree (instagram_media_id)
public,jalapeno_posts,idx_jalapeno_posts_media_source,CREATE INDEX idx_jalapeno_posts_media_source ON public.jalapeno_posts USING btree (media_source)
public,jalapeno_posts,idx_jalapeno_posts_metadata_category,CREATE INDEX idx_jalapeno_posts_metadata_category ON public.jalapeno_posts USING btree (((metadata ->> 'category'::text)))
public,jalapeno_posts,idx_jalapeno_posts_metadata_cta_type,CREATE INDEX idx_jalapeno_posts_metadata_cta_type ON public.jalapeno_posts USING btree (((metadata ->> 'cta_type'::text)))
public,jalapeno_posts,idx_jalapeno_posts_metadata_image_style,CREATE INDEX idx_jalapeno_posts_metadata_image_style ON public.jalapeno_posts USING btree (((metadata ->> 'image_style'::text)))
public,jalapeno_posts,idx_jalapeno_posts_metrics_exclusion,"CREATE INDEX idx_jalapeno_posts_metrics_exclusion ON public.jalapeno_posts USING btree (metrics_status, metrics_disabled_at)"
public,jalapeno_posts,idx_jalapeno_posts_overlay_status,CREATE INDEX idx_jalapeno_posts_overlay_status ON public.jalapeno_posts USING btree (overlay_status)
public,jalapeno_posts,idx_jalapeno_posts_post_type,CREATE INDEX idx_jalapeno_posts_post_type ON public.jalapeno_posts USING btree (post_type)
public,jalapeno_posts,idx_jalapeno_posts_publish_status,CREATE INDEX idx_jalapeno_posts_publish_status ON public.jalapeno_posts USING btree (publish_status)
public,jalapeno_posts,idx_jalapeno_posts_published_at_desc,CREATE INDEX idx_jalapeno_posts_published_at_desc ON public.jalapeno_posts USING btree (published_at DESC)
public,jalapeno_posts,idx_jalapeno_posts_run_id,CREATE INDEX idx_jalapeno_posts_run_id ON public.jalapeno_posts USING btree (run_id)
public,jalapeno_posts,idx_jalapeno_posts_video_asset_id,CREATE INDEX idx_jalapeno_posts_video_asset_id ON public.jalapeno_posts USING btree (video_asset_id)
public,jalapeno_posts,jalapeno_posts_pkey,CREATE UNIQUE INDEX jalapeno_posts_pkey ON public.jalapeno_posts USING btree (id)
public,jalapeno_report_logs,idx_jalapeno_report_logs_delivery_status,CREATE INDEX idx_jalapeno_report_logs_delivery_status ON public.jalapeno_report_logs USING btree (delivery_status)
public,jalapeno_report_logs,idx_jalapeno_report_logs_type_created,"CREATE INDEX idx_jalapeno_report_logs_type_created ON public.jalapeno_report_logs USING btree (report_type, created_at DESC)"
public,jalapeno_report_logs,jalapeno_report_logs_pkey,CREATE UNIQUE INDEX jalapeno_report_logs_pkey ON public.jalapeno_report_logs USING btree (id)
public,jalapeno_runs,idx_jalapeno_runs_post_type,CREATE INDEX idx_jalapeno_runs_post_type ON public.jalapeno_runs USING btree (post_type)
public,jalapeno_runs,idx_jalapeno_runs_run_id,CREATE INDEX idx_jalapeno_runs_run_id ON public.jalapeno_runs USING btree (run_id)
public,jalapeno_runs,idx_jalapeno_runs_started_at_desc,CREATE INDEX idx_jalapeno_runs_started_at_desc ON public.jalapeno_runs USING btree (started_at DESC)
public,jalapeno_runs,idx_jalapeno_runs_status,CREATE INDEX idx_jalapeno_runs_status ON public.jalapeno_runs USING btree (status)
public,jalapeno_runs,jalapeno_runs_pkey,CREATE UNIQUE INDEX jalapeno_runs_pkey ON public.jalapeno_runs USING btree (id)
public,jalapeno_runs,jalapeno_runs_run_id_key,CREATE UNIQUE INDEX jalapeno_runs_run_id_key ON public.jalapeno_runs USING btree (run_id)
public,jalapeno_settings,idx_jalapeno_settings_setting_key,CREATE INDEX idx_jalapeno_settings_setting_key ON public.jalapeno_settings USING btree (setting_key)
public,jalapeno_settings,jalapeno_settings_pkey,CREATE UNIQUE INDEX jalapeno_settings_pkey ON public.jalapeno_settings USING btree (id)
public,jalapeno_settings,jalapeno_settings_setting_key_key,CREATE UNIQUE INDEX jalapeno_settings_setting_key_key ON public.jalapeno_settings USING btree (setting_key)
public,jalapeno_video_assets,idx_jalapeno_video_assets_active_last_used,"CREATE INDEX idx_jalapeno_video_assets_active_last_used ON public.jalapeno_video_assets USING btree (active, last_used_at NULLS FIRST, used_count)"
public,jalapeno_video_assets,idx_jalapeno_video_assets_caption_type,CREATE INDEX idx_jalapeno_video_assets_caption_type ON public.jalapeno_video_assets USING btree (caption_type)
public,jalapeno_video_assets,idx_jalapeno_video_assets_style,CREATE INDEX idx_jalapeno_video_assets_style ON public.jalapeno_video_assets USING btree (style)
